tax_id,age,employment_duration,annual_income,credit_history_length,num_credit_cards,payment_history,late_payments,credit_inquiries,credit_limit,credit_utilization,last_late_payment_days,savings_balance,checking_balance,investment_balance,avg_monthly_transactions,avg_transaction_value,international_transactions_ratio,digital_banking_score,mobile_banking_usage,online_transactions_ratio,e_statement_enrolled,current_debt,monthly_expenses,auto_loan_balance,mortgage_balance,investment_loan_balance,debt_to_income,credit_score
678-10-1578,41.155224582166824,9.8,103419.42,8.8,3,48.8223,0,1,1190.24,0.43,365.0,7732.25,1713.17,8921.64,32.2,43.94,0.4217,58.628,88.5605,0.6335,1,92532.37,6350.36,87156.14,504680.67,22527.97,120.0,728
679-10-1579,47.32405257716549,15.2,102576.32,13.7,0,79.9077,3,1,14635.58,0.7127,166.0,38089.48,4185.8,5432.41,54.7,113.8,0.1752,53.7452,72.2453,0.4121,1,974.45,6407.63,8593.45,33004.59,14750.65,55.8834,767
680-10-1580,44.72351756131649,22.5,18000.0,5.5,3,92.3263,0,1,66152.26,0.307,177.0,9286.28,8843.19,517.63,78.4,50.98,0.2559,68.9031,74.6414,0.3634,0,36696.15,934.17,11153.8,432445.72,95381.13,120.0,715
681-10-1581,55.94438006822058,22.1,101427.19,30.3,1,53.8954,1,0,5273.88,0.5559,22.0,8854.87,2013.46,2708.42,72.1,48.4,0.2165,85.6138,28.8864,0.8965,1,13310.84,4344.75,81680.47,21722.77,101189.38,120.0,745
682-10-1582,65.76224668717485,16.6,41688.01,17.9,4,89.1245,0,1,9604.22,0.4244,18.0,7577.61,4370.11,39291.45,103.0,84.7,0.1635,79.9311,83.9826,0.4271,1,31747.5,1670.52,3132.82,42969.75,76136.88,120.0,760
683-10-1583,59.94136414153413,11.6,21827.36,7.8,4,68.255,2,0,12219.44,0.3479,9.0,13282.19,1192.61,769.78,44.1,70.48,0.0822,52.172,64.8453,0.8805,1,27954.33,1458.65,21006.54,134938.11,2969.8,120.0,696
684-10-1584,50.58781891242157,14.7,88480.47,7.1,1,68.158,2,1,20597.86,0.381,175.0,1587.02,4071.2,10115.79,36.5,82.76,0.2595,76.6176,70.1705,0.7655,1,47434.05,5291.8,32411.05,256985.25,67909.82,120.0,715
685-10-1585,44.070655725625635,20.7,67862.86,6.2,2,68.2008,1,1,6014.89,0.0979,117.0,4870.13,3978.41,370.4,64.2,36.96,0.2073,73.0567,48.1715,0.6555,1,9201.01,3521.39,38975.95,375189.91,49367.42,120.0,720
686-10-1586,59.596843166620346,9.8,111228.22,10.3,3,72.3231,1,0,11040.37,0.1479,162.0,19932.55,1777.77,275.77,31.1,107.34,0.2333,70.4737,62.8496,0.5278,1,62830.58,5980.08,27676.48,165116.93,48337.93,120.0,765
687-10-1587,56.63554846799204,14.4,41187.83,5.0,2,78.1356,0,0,2509.35,0.1935,68.0,21353.12,4274.46,15088.22,56.8,53.43,0.2613,61.877,63.3705,0.5607,1,22810.07,1889.32,44165.31,170719.27,60693.38,120.0,734
688-10-1588,64.72108412168151,10.8,59635.5,10.2,4,78.0723,4,1,46926.14,0.3521,130.0,5343.48,2980.7,7355.89,51.9,119.18,0.2384,89.9752,51.7751,0.6574,1,13561.51,3963.18,715.25,94997.48,176306.46,120.0,708
689-10-1589,51.97538090636064,9.7,18000.0,9.0,5,75.7136,3,1,8300.75,0.6548,35.0,30885.22,3486.89,956.06,52.5,29.88,0.0304,64.0183,60.5997,0.9151,1,17346.94,1110.65,49651.0,130284.14,37247.59,120.0,691
690-10-1590,70.20044995406411,13.9,236255.53,4.3,2,79.0899,0,0,29158.16,0.263,88.0,2917.72,6434.86,1137.6,64.4,38.71,0.0682,75.1428,43.5346,0.7311,1,22361.85,13935.51,1019.3,196348.14,186219.9,120.0,750
691-10-1591,51.97855413964513,11.6,23462.7,8.3,1,98.4359,1,1,36370.65,0.2554,138.0,5373.88,3374.01,2488.3,53.4,46.13,0.0254,82.7446,90.7414,0.9635,0,9268.13,1486.08,2867.99,142430.97,184951.42,120.0,727
692-10-1592,44.032374331187086,16.8,33955.16,6.9,2,53.8552,0,1,6856.09,0.5901,69.0,61686.71,2315.54,842.28,39.4,26.2,0.0877,70.0627,84.2891,0.4723,1,19257.49,2060.24,55183.79,27165.68,17977.61,120.0,713
693-10-1593,45.48919741786696,11.7,29099.3,11.2,3,57.0619,0,1,10304.99,0.3793,121.0,34284.33,1443.98,4630.54,27.7,97.45,0.2079,85.8595,89.8012,0.468,1,65584.46,1435.36,45179.66,246899.13,55721.97,120.0,734
694-10-1594,55.400939869372195,13.3,69188.78,4.2,2,58.0951,0,0,52445.87,0.8298,2.0,25662.42,13759.32,1740.97,66.6,56.01,0.188,87.5828,47.0087,0.9294,1,2890.31,5024.11,246.69,97404.49,13954.4,120.0,710
695-10-1595,44.70161871022972,6.3,33068.59,3.9,0,42.5616,1,0,5307.09,0.149,44.0,1213.21,9169.04,2925.99,19.4,43.42,0.0659,86.0233,34.4331,0.3582,0,14613.89,2107.2,42609.8,272146.67,59049.25,120.0,640
696-10-1596,70.08620261367133,21.2,127357.18,8.3,4,88.9138,0,0,4842.01,0.3761,53.0,5924.09,3498.03,827.18,97.0,81.19,0.1001,75.1289,63.7859,0.7194,1,10750.29,4803.56,6535.46,494181.25,76168.04,120.0,779
697-10-1597,54.46828574068976,21.4,74634.77,10.8,1,60.2469,0,1,4217.69,0.2493,81.0,1855.97,2619.21,6212.43,57.7,118.87,0.1131,64.4716,41.0109,0.3004,1,27425.36,3921.67,9330.16,756376.69,76439.4,120.0,746
698-10-1598,50.37380265150125,8.9,21097.26,9.4,1,62.1769,1,0,2505.23,0.6389,249.0,18844.57,10151.69,6607.65,30.0,68.69,0.1166,65.9431,54.775,0.7688,1,5693.99,1244.03,27737.3,84555.65,89945.37,120.0,695
699-10-1599,51.19052836763643,9.4,103353.69,7.7,1,54.1291,0,0,3508.56,0.2151,149.0,10390.3,701.75,16391.42,33.8,108.55,0.3227,72.7865,94.3608,0.3953,1,38727.11,3965.15,26085.85,199075.71,10835.77,120.0,743
700-10-1600,47.54389789883244,15.6,113361.78,11.7,1,70.1941,0,2,40242.24,0.4218,293.0,3730.85,8088.62,2962.98,28.6,54.27,0.2945,59.7111,57.567,0.6557,1,97109.03,7159.09,22260.34,118948.56,5334.86,120.0,755
701-10-1601,36.27740709577835,11.1,35955.32,5.2,1,77.8051,1,0,10482.35,0.186,63.0,4246.96,8879.67,1218.28,49.3,29.09,0.1122,48.7505,60.3844,0.8351,0,27890.07,1534.81,14753.49,61284.84,93705.82,120.0,699
702-10-1602,45.49539017958331,16.5,26875.02,4.3,1,73.322,0,0,4992.32,0.3397,39.0,7683.99,5185.37,1146.41,58.8,99.53,0.2646,86.654,79.327,0.8794,1,8392.54,1638.64,93200.19,132193.17,13303.89,120.0,702
703-10-1603,68.03195400252456,27.7,79147.53,3.7,2,74.0466,1,0,25179.89,0.1288,321.0,9800.24,901.49,471.03,50.4,60.88,0.2264,86.8507,77.6419,0.4834,1,66167.69,4572.83,8383.17,48741.57,30802.31,120.0,724
704-10-1604,52.249933019534176,9.1,94946.0,12.7,0,95.5758,0,0,17130.51,0.0516,134.0,16791.74,13798.79,1792.83,95.3,289.9,0.2295,58.1344,94.4682,0.9215,1,49096.75,4676.05,59258.91,677758.38,74660.52,120.0,775
705-10-1605,61.39489865786623,22.0,29660.68,29.0,1,69.5922,0,0,3820.37,0.4262,37.0,33129.43,8503.77,11248.52,70.5,278.93,0.4327,98.6177,91.653,0.7475,1,45198.12,1457.97,34962.27,241231.84,48565.96,120.0,754
706-10-1606,61.77512231314789,8.3,114289.71,6.0,2,98.3524,0,0,4840.79,0.2912,6.0,44980.95,1473.19,891.59,95.8,30.69,0.0916,62.4129,40.6097,0.5036,1,64479.73,5509.4,41453.05,21110.47,214358.62,120.0,779
707-10-1607,49.624176555286674,9.8,40071.42,4.5,0,57.448,2,1,23784.87,0.3801,116.0,22784.1,16607.01,7799.11,87.7,59.18,0.2439,71.667,55.575,0.8812,1,251126.15,2064.51,6490.59,211753.79,55181.86,120.0,671
708-10-1608,56.82640139230574,15.7,137068.5,16.1,0,53.2316,1,0,9671.64,0.2939,120.0,4083.87,1781.08,3563.85,41.3,48.52,0.127,80.1507,42.5662,0.7996,1,10783.8,9374.7,33603.21,142675.88,342.28,120.0,743
709-10-1609,36.906315473610086,19.2,19813.71,17.9,7,56.4836,0,1,65726.16,0.3538,201.0,4680.18,1432.91,4831.62,45.5,98.8,0.2738,72.7071,70.9065,0.7767,0,8073.36,1104.69,45007.93,59848.3,72566.03,120.0,700
710-10-1610,66.7567695520471,27.2,35834.96,7.1,3,73.1547,1,1,3693.95,0.4549,18.0,49071.18,9693.25,217972.08,77.1,62.21,0.1439,72.5394,50.4668,0.6926,0,17305.33,1595.03,6270.81,230607.91,240091.96,120.0,739
711-10-1611,65.51615719265364,31.9,51746.65,9.1,2,96.7681,1,0,23868.95,0.2776,22.0,3853.4,12169.33,6.9,49.7,120.97,0.1043,57.6376,88.6006,0.8278,1,56752.25,2979.63,17258.79,162004.04,485.37,120.0,745
712-10-1612,55.08865539556705,12.3,29916.57,11.0,1,85.1795,1,1,8241.73,0.2382,159.0,11194.36,2041.28,16725.82,50.4,28.46,0.025,89.399,87.1193,0.8899,1,50157.64,2096.81,15228.98,259886.78,922.05,120.0,741
713-10-1613,52.622624282878945,14.3,58562.09,27.4,2,83.3712,0,0,2272.41,0.3554,170.0,20680.7,3146.85,3401.42,85.5,98.77,0.2396,70.9822,73.2807,0.8063,1,17942.56,2373.92,56368.27,216973.62,90731.02,120.0,765
714-10-1614,49.75027470371872,16.9,46968.83,4.8,2,88.2362,0,0,20322.61,0.4954,63.0,9732.75,2375.05,3051.4,42.6,40.67,0.1798,76.1633,63.8452,0.877,1,110020.81,2485.58,57392.25,460625.21,15254.7,120.0,720
715-10-1615,62.920514317208436,14.0,51700.76,5.8,4,75.1869,0,2,140342.69,0.8265,263.0,45824.71,3847.16,9560.41,19.8,63.3,0.1031,69.7211,83.3391,0.6691,1,58293.48,3674.04,23484.51,357832.45,3902.91,120.0,721
716-10-1616,58.17222579343463,12.2,45126.02,8.6,0,93.9238,0,0,27378.52,0.1827,10.0,2872.31,608.81,2888.34,48.8,76.82,0.2399,96.52,54.9231,0.7257,1,94623.14,1641.43,2009.82,72708.96,61722.69,120.0,747
717-10-1617,29.417949660113297,10.7,24260.18,0.7,3,79.4638,1,1,4382.62,0.2373,140.0,18475.31,1449.24,12385.57,79.2,39.32,0.0548,74.415,91.889,0.6955,1,12491.96,1478.89,1386.01,627062.04,27420.88,120.0,675
718-10-1618,46.57856218698339,19.3,58918.73,13.1,3,97.7736,0,1,46121.46,0.1021,146.0,7082.35,4155.54,8293.35,63.3,28.74,0.2579,95.4285,59.6437,0.9082,1,8309.87,2376.99,40838.77,99195.14,218418.57,120.0,773
719-10-1619,40.23542661282199,27.3,54836.5,13.1,3,74.8177,2,1,8018.1,0.3296,355.0,25764.21,5636.18,2377.65,52.4,75.36,0.2306,65.5824,30.887,0.4551,1,30587.73,3620.86,43811.39,75641.93,9189.72,120.0,733
720-10-1620,38.91713430309213,5.9,29546.68,5.5,3,79.0953,2,2,25458.01,0.5909,65.0,15202.28,1219.93,3140.37,83.6,146.75,0.132,44.3454,45.0608,0.4784,0,44740.06,1103.66,5091.76,2110.73,24560.91,120.0,664
721-10-1621,62.7744684534879,12.7,143535.4,10.7,0,76.5143,1,0,1864.46,0.3974,46.0,2130.24,7116.57,14746.52,113.3,35.24,0.2108,59.7133,54.876,0.6818,1,60536.0,4862.22,5377.56,74577.91,713.87,98.3767,771
722-10-1622,49.54247211970778,6.0,74640.4,13.0,1,71.9131,0,1,7909.64,0.5221,31.0,39850.37,653.98,598.69,22.8,22.31,0.4358,70.9097,90.0821,0.7495,1,20613.7,3190.81,7203.9,99089.06,164689.62,120.0,743
723-10-1623,54.90528766262925,18.8,99087.65,9.8,0,86.6956,1,2,3187.38,0.0842,365.0,12844.67,2017.06,244.25,62.1,109.55,0.2231,53.1598,19.643,0.7383,1,18892.75,2522.12,15004.05,567301.73,23333.05,120.0,764
724-10-1624,50.758614763678096,9.7,33993.05,3.8,4,92.0961,1,0,78327.7,0.3197,365.0,1184.8,660.9,10783.93,55.2,63.02,0.1452,93.5543,69.1674,0.869,1,2943.58,2344.42,45503.04,110050.37,2969.22,120.0,697
725-10-1625,39.003515788723604,25.5,18000.0,19.2,1,78.4706,0,2,11068.77,0.2207,216.0,6902.09,3822.55,6844.26,33.2,80.92,0.1693,48.2042,26.2771,0.6596,1,25749.23,586.55,48129.86,401009.87,39543.5,120.0,727
726-10-1626,37.04331205702674,13.3,202964.43,7.0,3,72.4781,0,1,37893.32,0.1775,103.0,25043.33,4545.66,292.61,41.2,53.74,0.1257,70.823,88.0704,0.9764,1,43990.65,10981.32,18646.62,96837.94,44213.48,100.3568,776
727-10-1627,45.98595833955091,18.9,67377.08,14.4,4,50.428,0,0,46353.56,0.4626,292.0,3627.62,1821.77,5444.43,75.8,37.61,0.1872,87.2105,84.7807,0.7393,1,2334.11,2260.75,11357.63,73943.63,7411.04,120.0,736
728-10-1628,46.704037152595724,9.0,77230.35,14.8,5,92.4909,3,1,18347.43,0.2298,8.0,1258.66,6158.18,27003.01,22.3,210.39,0.1349,96.8277,91.624,0.3899,1,71249.72,3311.89,26173.67,354666.19,85920.89,120.0,730
729-10-1629,46.6985189106007,15.4,74938.04,12.4,6,70.6151,0,1,58620.56,0.444,231.0,3124.85,7100.73,90902.31,53.0,131.18,0.1203,85.4049,58.5977,0.629,1,10195.01,5199.44,209.78,114144.86,27351.2,120.0,745
730-10-1630,46.95095010502996,15.3,79168.36,6.1,1,91.0208,0,2,55211.78,0.1906,188.0,15318.5,5218.92,4734.86,44.8,15.32,0.2417,70.1346,87.5595,0.8362,1,35068.74,2558.47,4226.62,43833.9,57241.22,120.0,754
731-10-1631,74.96548920601671,17.5,28435.76,10.7,1,75.6867,0,0,5675.62,0.3874,101.0,2447.24,3315.1,1104.41,54.7,36.94,0.0256,83.7893,42.339,0.6518,1,508481.74,1861.94,10103.8,102548.73,61020.59,120.0,733
732-10-1632,61.193365034551476,10.3,29139.81,7.0,3,64.2068,0,2,61187.64,0.5114,328.0,75148.64,3128.83,5856.6,39.1,39.31,0.1826,65.5841,59.7668,0.6896,1,37404.26,1564.02,21236.01,84997.55,127865.66,120.0,718
733-10-1633,52.3971298649826,24.4,29196.61,23.9,3,61.1628,1,0,9931.51,0.2296,78.0,16781.26,9044.96,18711.62,19.6,33.98,0.1385,64.0244,74.7257,0.9085,1,21028.89,1339.92,22389.42,389553.84,147218.1,120.0,725
734-10-1634,49.30356804997779,17.0,88071.79,1.8,3,86.001,0,0,3600.55,0.0988,168.0,18649.29,3427.68,113.31,108.9,79.95,0.0204,55.169,58.8625,0.5764,1,9208.47,3415.99,2465.19,30585.62,12308.2,61.958,765
735-10-1635,49.63668179426509,26.7,25608.67,9.4,5,88.6232,0,0,4800.34,0.1208,116.0,36942.23,777.82,1912.49,53.4,24.35,0.1429,79.784,57.375,0.5196,1,53145.08,1643.51,14668.86,32589.61,80313.05,120.0,764
736-10-1636,57.72851763777669,6.4,20534.38,11.8,3,61.4116,0,1,9502.53,0.2333,365.0,1296.84,3574.94,22311.58,54.9,38.61,0.2305,49.0348,70.5947,0.5584,1,12113.29,1536.18,13609.02,57733.99,18198.04,120.0,703
737-10-1637,49.215639535243376,15.4,38186.76,6.5,4,88.2014,0,0,2727.2,0.1195,40.0,2605.4,1581.1,401.5,66.4,52.34,0.2114,86.7152,71.8891,0.8612,1,45831.9,2170.28,65773.74,398503.92,3456.62,120.0,733
738-10-1638,59.843972901553705,13.0,49484.52,19.5,2,96.8656,0,0,3971.87,0.4398,365.0,11911.76,4496.06,5028.9,52.5,52.23,0.4854,74.5578,91.1332,0.6154,1,9665.97,3483.96,22313.06,350588.4,114096.98,120.0,761
739-10-1639,53.51634930767959,32.2,57827.94,14.8,2,83.9628,0,2,8936.4,0.1299,365.0,15453.09,1528.18,4912.57,45.2,38.17,0.3405,74.9869,86.4156,0.2814,1,19112.25,3713.26,8102.62,387025.57,27458.38,120.0,761
740-10-1640,75.13298063967788,19.6,42599.99,18.3,1,95.1444,0,0,24430.04,0.2523,170.0,25717.18,6673.13,209184.03,51.8,30.78,0.0876,71.2879,64.7435,0.5743,0,23807.82,2499.23,5330.63,55509.15,1854.87,120.0,780
741-10-1641,48.651699280563406,14.1,84038.64,15.4,2,57.0524,1,1,5877.5,0.2959,175.0,6114.83,971.39,9495.15,72.2,41.22,0.1699,77.4458,79.5067,0.8401,1,49120.7,3557.33,15112.72,16095.27,65491.14,120.0,741
742-10-1642,62.132298539561745,19.0,135519.28,5.8,2,64.1076,0,3,29274.22,0.0915,126.0,6523.61,3429.68,1637.89,81.7,47.53,0.039,73.2709,58.8234,0.6778,1,44683.97,7134.57,10476.96,172270.98,189817.79,120.0,749
743-10-1643,40.85419046283717,11.4,61970.1,5.0,1,76.4234,1,1,5195.76,0.3056,23.0,26161.81,809.54,419.98,37.0,46.69,0.1831,91.5303,60.016,0.5512,1,30866.62,2827.43,24877.38,54450.72,14701.27,120.0,720
744-10-1644,44.26916818169718,17.8,135048.96,3.7,2,67.8493,0,1,13201.2,0.7484,181.0,22515.02,1631.19,3292.09,78.1,34.22,0.1982,79.7189,69.003,0.488,1,34851.63,8658.04,45151.38,284196.41,179706.26,120.0,733
745-10-1645,72.65567265855118,40.0,87986.4,5.6,1,82.8105,1,1,100097.44,0.1033,31.0,2813.39,1130.61,2014.37,18.9,38.62,0.2059,42.4844,69.8165,0.7952,1,156370.34,5594.88,1487.15,228790.33,35524.21,120.0,727
746-10-1646,59.304313743038186,10.6,30684.02,7.8,3,60.7296,1,1,21234.34,0.1865,257.0,3600.87,961.93,259.02,36.9,78.85,0.2026,78.0922,82.8558,0.6066,1,31146.44,2255.65,6057.41,200359.57,8288.96,120.0,697
747-10-1647,55.1065146914366,15.3,33099.99,15.4,1,33.5626,2,1,23664.05,0.6659,189.0,2326.88,1621.87,2512.28,72.6,21.71,0.1572,59.5838,67.7381,0.8086,1,71060.8,1697.44,15207.81,303727.63,13137.98,120.0,677
748-10-1648,79.79728660555264,9.5,31949.97,6.2,0,72.3065,2,2,1366.27,0.1839,140.0,45203.75,8204.48,1499.72,28.3,46.21,0.3908,38.1092,48.3502,0.3813,1,83743.14,2339.53,12479.51,80642.66,58266.32,120.0,689
749-10-1649,49.438766808648154,8.6,52383.98,12.5,4,80.979,1,1,64439.1,0.0776,214.0,18882.89,1200.1,328.31,97.4,50.99,0.0653,83.5802,77.921,0.6839,1,46376.1,2908.31,18830.02,338167.77,43995.81,120.0,742
750-10-1650,62.100052720283024,22.1,49256.24,8.8,3,52.4272,0,1,47092.48,0.3884,133.0,21742.31,4529.42,2394.9,58.7,35.55,0.2919,68.1677,92.9008,0.5795,1,45540.52,3114.05,5241.56,74417.69,2571.33,120.0,730
751-10-1651,63.09641731108324,7.5,90790.02,14.0,4,75.0551,1,1,49506.54,0.6735,22.0,9586.39,1598.58,723.79,56.9,34.58,0.1638,28.7688,44.24,0.5033,1,30201.29,2744.13,16695.4,65897.78,49032.23,120.0,729
752-10-1652,68.82066119585858,17.7,53647.43,17.2,5,83.0246,0,1,10299.32,0.3672,283.0,12563.08,3844.58,3065.15,79.3,80.99,0.2996,76.2176,77.6494,0.6725,0,68700.9,2836.13,17324.24,12714.94,6494.69,120.0,755
753-10-1653,40.03101313657088,21.4,71208.53,11.5,2,65.2155,0,0,3110.77,0.4001,365.0,11096.74,1870.05,3644.99,80.3,57.36,0.6493,64.9899,74.8884,0.1793,1,9121.77,5340.24,8149.94,421852.98,18926.97,120.0,744
754-10-1654,49.375679862828875,11.7,26436.48,4.4,3,51.9475,0,1,33252.63,0.183,332.0,9738.37,1916.29,1038.29,59.8,53.57,0.3145,69.9088,83.5349,0.8738,1,38695.31,1214.92,54480.37,23960.26,27443.44,120.0,691
755-10-1655,53.33049422765754,26.2,70907.83,12.0,2,88.8573,2,1,6915.49,0.4299,41.0,2017.11,2207.4,10983.18,28.8,113.98,0.14,97.6618,58.718,0.4192,1,17452.97,2744.41,2139.11,378574.33,27678.63,120.0,739
756-10-1656,68.55810286835468,25.1,42835.66,21.7,2,75.5286,0,0,11773.54,0.4967,117.0,160192.93,4061.25,4364.92,48.8,27.66,0.1604,96.8817,22.1795,0.9341,1,19277.15,2070.13,6017.97,438998.19,44844.65,120.0,764
757-10-1657,54.65257759696463,11.6,40704.66,5.5,1,78.04,0,0,4696.7,0.6354,3.0,24188.1,13147.14,26258.32,23.5,104.26,0.0542,56.0679,63.8744,0.3576,1,8815.01,2679.89,20976.91,429209.54,3668.02,120.0,718
758-10-1658,63.12647686904778,6.9,38080.58,20.8,2,81.8486,0,0,20208.73,0.7155,72.0,914.72,640.32,51427.84,61.5,52.12,0.1511,76.7549,73.8208,0.6771,1,48069.21,1461.89,10811.24,131537.07,26948.53,120.0,727
759-10-1659,39.41603062011844,18.4,172454.72,6.7,1,82.5765,1,1,3468.62,0.4055,347.0,20556.38,590.92,2026.04,36.0,21.07,0.2051,46.8308,76.5694,0.7782,1,16395.73,6290.04,9030.31,21229.99,100706.49,85.45,768
760-10-1660,47.17213268202549,13.9,26218.12,10.0,3,77.361,3,0,15146.54,0.3591,234.0,19495.28,8263.64,186978.65,33.8,115.85,0.1344,84.0828,43.0124,0.9517,0,29361.08,893.57,18307.27,211694.0,85551.64,120.0,723
761-10-1661,65.46026511386162,15.8,96156.21,5.9,2,85.2313,1,0,24372.93,0.4043,189.0,10102.89,4632.97,870.86,46.2,55.33,0.1837,74.4152,50.3944,0.6457,1,45814.18,2160.7,77041.63,85799.12,31381.45,120.0,746
762-10-1662,48.33402685397233,18.3,57951.78,9.1,0,85.3,0,1,19324.57,0.3144,13.0,12512.59,1814.24,345.5,22.6,68.89,0.3669,59.158,60.4014,0.6821,1,105442.96,2674.77,9879.02,524444.52,123341.95,120.0,737
763-10-1663,50.15288570437307,6.2,23108.8,23.0,4,62.9378,2,0,4666.21,0.2794,131.0,465.54,6159.9,1467.86,65.9,50.62,0.1864,72.869,72.2082,0.632,1,8508.53,1108.46,14214.89,200476.19,75818.58,120.0,684
764-10-1664,68.30325954920372,11.3,48617.3,3.8,2,61.9921,2,1,9567.65,0.3087,109.0,2083.48,3213.81,7007.12,75.9,44.4,0.2091,85.561,74.1278,0.5799,1,20253.85,2076.34,28663.13,15254.16,33188.5,120.0,681
765-10-1665,42.39818129744794,30.6,18000.0,20.1,1,88.6154,1,2,47066.36,0.285,365.0,10877.78,5947.68,1257.93,20.3,27.18,0.1402,43.3382,70.125,0.5856,1,58292.29,572.42,10343.87,106076.45,22043.18,120.0,721
766-10-1666,44.138876140411426,16.0,199528.62,7.9,1,46.5902,0,0,5552.54,0.5461,286.0,6668.74,8106.54,3938.83,58.0,98.56,0.1384,67.3585,47.5783,0.877,1,84925.1,9596.95,23438.92,206276.3,28505.55,120.0,741
767-10-1667,38.708189835881456,18.9,46275.14,8.6,1,81.7989,1,1,90835.82,0.3735,49.0,5676.49,1403.42,5341.17,77.6,44.28,0.2107,61.6635,89.3941,0.5018,1,23015.25,2591.29,80526.99,467055.9,83354.63,120.0,723
768-10-1668,68.93522817123527,15.3,130724.53,3.7,0,63.8025,1,0,9134.57,0.3596,252.0,2320.25,8959.15,1650.42,58.5,82.21,0.5328,60.0081,61.0903,0.9345,1,38335.58,7300.76,5212.17,188708.52,34127.85,120.0,713
769-10-1669,60.948909475458436,18.6,153586.77,5.6,1,79.7798,0,0,32091.63,0.4518,365.0,4468.04,1930.0,58309.66,35.0,56.02,0.2913,94.8862,72.4085,0.7628,0,23872.27,8987.43,14103.31,357897.91,8023.63,120.0,762
770-10-1670,60.61535480006216,24.8,40229.33,14.6,5,96.5007,1,0,8634.89,0.6758,159.0,6850.91,3429.78,1315.32,34.7,30.9,0.1572,58.043,54.8171,0.7823,1,14804.58,1968.04,16642.49,64447.87,18203.61,120.0,733
771-10-1671,46.92166480982406,4.4,61116.13,13.1,1,86.6362,1,0,7773.85,0.6957,217.0,2652.64,5276.98,2652.43,57.0,33.15,0.0838,62.5363,96.5301,0.6048,1,11570.11,2504.05,33753.0,152450.28,13581.25,120.0,710
772-10-1672,38.22465529093962,20.7,68171.38,20.2,1,95.8121,1,0,8952.91,0.486,248.0,6497.78,2518.39,137.91,102.0,43.85,0.0657,77.2203,81.809,0.7121,1,7037.73,4382.67,1986.83,378923.31,1798.62,120.0,749
773-10-1673,36.43423738718647,14.0,226428.18,5.1,1,83.1332,1,1,78318.26,0.1612,62.0,16589.32,3173.05,14484.24,53.5,33.75,0.1264,86.7957,70.6484,0.5764,1,37482.35,8875.7,6090.4,389493.28,873.43,120.0,757
774-10-1674,65.56950141082153,22.5,52370.58,12.9,2,71.6568,1,1,80884.14,0.1915,365.0,11575.62,587.6,4516.2,29.8,83.29,0.1061,83.0799,53.6712,0.8241,1,11498.46,2523.14,3064.46,59744.21,59933.1,120.0,739
775-10-1675,55.84925248837344,11.9,57662.96,9.1,1,66.9859,0,0,23067.07,0.7,143.0,9448.67,13259.6,6044.93,47.9,35.8,0.2257,60.3622,71.409,0.8564,1,8769.53,1894.49,14545.42,22677.89,25977.52,120.0,733
776-10-1676,58.02679498418091,11.6,22486.33,15.8,2,79.036,1,0,7679.97,0.233,177.0,3943.95,3488.8,24731.14,54.6,204.58,0.1587,76.3441,79.2317,0.818,1,19361.06,998.76,9456.62,230851.99,138538.1,120.0,735
777-10-1677,52.8349270482064,7.4,32021.81,1.9,2,61.3626,1,0,4713.52,0.1923,248.0,30095.96,714.77,28318.91,98.9,77.96,0.1691,69.602,67.5604,0.9308,0,35745.92,1604.36,19572.88,253849.22,177142.43,120.0,684
778-10-1678,43.166567202911374,14.2,42201.6,9.7,2,84.9978,2,2,42752.97,0.3625,178.0,23486.48,35223.06,2067.33,74.0,38.38,0.122,35.5249,85.9283,0.7766,1,20787.56,1977.79,26207.86,60727.96,2653.55,120.0,727
779-10-1679,47.32798337443403,7.1,148886.54,11.2,3,77.2321,1,0,16049.11,0.3544,3.0,12112.92,352.11,6082.74,77.7,72.24,0.1752,89.0642,74.9639,0.4567,0,20313.01,3699.48,2736.62,51054.12,16336.56,60.7445,788
780-10-1680,41.25826776025734,13.5,225308.82,10.2,3,77.5249,0,2,21044.45,0.2549,136.0,1490.03,3103.09,2507.14,54.2,106.01,0.1839,74.4185,93.3251,0.8473,1,38455.44,11622.92,9236.07,18168.67,173105.83,106.0615,778
781-10-1681,40.359260279397276,15.8,85030.95,6.0,6,71.3763,0,1,90837.79,0.5338,365.0,30297.34,3971.52,771.68,58.0,50.4,0.0889,80.3136,48.8564,0.875,1,17419.91,4895.49,19629.7,592783.08,51312.5,120.0,733
782-10-1682,59.8672801660787,9.9,76546.72,14.0,4,97.1619,1,0,49634.13,0.5214,74.0,5732.85,1559.23,678.15,27.5,183.02,0.2947,88.3849,39.532,0.8191,1,6581.91,3233.51,3126.99,126012.38,145216.33,120.0,749
783-10-1683,36.946989255664064,5.8,96702.96,10.7,0,85.5083,0,1,51579.63,0.2641,249.0,5088.1,1192.91,3725.78,54.8,101.64,0.4669,89.1746,36.4394,0.6238,1,20448.73,4212.3,29551.84,123527.08,39811.72,120.0,743
784-10-1684,41.30664587012416,5.0,37076.39,4.0,2,78.645,0,1,13222.45,0.1588,192.0,30063.97,1113.43,2967.8,76.3,19.6,0.2063,64.1004,78.1214,0.9323,1,112667.89,2090.54,357.63,62392.51,38854.74,120.0,699
