tax_id,annual_income,savings_balance,payment_history,age,avg_monthly_transactions,avg_transaction_value,digital_banking_score,mobile_banking_usage,online_transactions_ratio,e_statement_enrolled,checking_balance,digital_activity_score,monthly_digital_transactions,customer_category
878-12-3578,37752.59,5304.61,64.8354,41.29041657330137,33.4,32.13,68.0168,63.6148,0.5173,1,1957.19,61.81,17.3,Regular
879-12-3579,51164.5,2734.27,82.9773,48.19063849290975,47.6,50.74,89.0553,40.7089,0.5581,0,975.62,64.58,26.6,Regular
880-12-3580,175163.11,24366.87,93.9136,63.17137155868716,49.5,33.88,44.3056,44.6769,0.8205,1,1809.47,55.74,40.6,Preferred
882-12-3582,38805.49,7688.41,93.7137,40.54297019394005,56.9,43.01,31.9545,75.9071,0.9291,0,11690.58,63.43,52.9,Regular
883-12-3583,126025.57,17442.7,88.2302,55.65101006916152,41.9,66.04,89.0106,60.5326,0.7874,1,459.64,77.39,33.0,Preferred
884-12-3584,66910.19,22227.46,95.3872,33.09036500714163,61.1,43.58,95.9553,59.2652,0.6084,0,2210.37,74.41,37.2,Preferred
885-12-3585,383906.72,17299.78,88.8595,47.35693623415925,53.8,35.45,81.0815,26.5637,0.8146,1,999.29,64.84,43.8,Preferred
886-12-3586,37371.43,67158.39,60.7763,64.39248462980223,53.0,15.45,81.0762,77.1884,0.8446,1,4158.79,80.93,44.8,Preferred
887-12-3587,190001.39,6719.03,66.9368,47.93032396635373,50.6,44.72,72.278,45.996,0.8763,1,4283.04,69.0,44.3,Preferred
888-12-3588,39749.99,2209.92,64.9175,60.09226022343118,110.6,89.34,64.6832,47.5734,0.6298,1,2367.04,59.04,69.7,Regular
889-12-3589,28239.2,11741.74,87.3123,40.44769675566382,50.5,50.8,74.0487,53.1093,0.876,1,10424.32,71.83,44.2,Regular
892-12-3592,31203.93,15992.22,55.1998,55.037050121554,54.2,26.26,71.6593,39.1286,0.7805,1,3943.31,63.82,42.3,Regular
893-12-3593,47854.0,573.9,46.9125,50.669291661155,49.7,101.39,92.682,86.4504,0.7742,1,2590.26,86.23,38.5,Regular
894-12-3594,50152.84,3346.95,88.4301,34.008559149178694,25.9,113.82,91.0588,42.4224,0.977,1,3557.46,78.46,25.3,Regular
895-12-3595,113719.7,69057.06,86.2084,66.30932083316904,64.2,41.23,76.4124,89.368,0.5761,1,8402.79,74.66,37.0,VIP
896-12-3596,106435.69,4803.76,85.9554,45.23772937454482,54.9,43.32,85.9992,86.9346,0.709,1,3744.24,81.75,38.9,Preferred
897-12-3597,58402.33,5066.71,73.5703,50.55047930147221,98.1,41.97,90.5336,80.6752,0.8144,1,3007.94,84.85,79.9,Preferred
898-12-3598,18000.0,1203.38,73.8058,47.0609376736755,80.2,59.19,34.9024,78.713,0.5729,1,4110.23,54.76,45.9,Regular
899-12-3599,18000.0,2470.8,79.0578,49.83752829495469,85.2,37.2,89.922,87.2094,0.6075,1,1178.16,80.36,51.8,Regular
900-12-3600,41318.29,84719.76,55.4619,48.9743494534007,54.5,93.19,76.6151,82.0824,0.4989,1,6269.01,70.24,27.2,Preferred
901-12-3601,33361.18,12147.56,68.536,42.06956765275349,33.0,96.1,83.2869,42.4228,0.8213,0,754.11,70.68,27.1,Regular
902-12-3602,39568.49,7768.37,88.5376,58.17333713099447,49.2,42.95,47.0979,69.9354,0.3004,1,11285.74,48.83,14.8,Regular
903-12-3603,186355.67,26394.56,96.5432,43.89794607556436,65.2,65.34,90.3586,91.7576,0.9248,1,3486.57,91.41,60.3,VIP
904-12-3604,39139.48,1288.27,92.2443,43.34224744655005,68.2,67.75,73.683,76.0188,0.5934,1,10328.11,70.08,40.5,Regular
905-12-3605,32669.55,5518.58,81.3554,37.12414720250003,80.6,60.43,78.4251,74.0833,0.4112,1,5941.45,65.93,33.1,Regular
906-12-3606,59728.41,2671.01,32.4602,45.00142511698513,39.4,61.11,55.1143,51.0281,0.6888,1,1043.06,58.02,27.1,Regular
907-12-3607,41609.22,7805.92,94.9805,43.795619281551495,94.9,93.5,51.8012,62.5192,0.7917,1,4408.98,63.23,75.1,Regular
908-12-3608,90937.84,71988.31,37.076,29.097099958107684,36.1,71.74,89.4948,76.3925,0.9189,1,13403.22,86.28,33.2,Preferred
909-12-3609,71103.49,32147.88,88.9271,34.02454744588501,88.3,57.94,65.878,52.5202,0.6364,1,3067.11,61.2,56.2,Preferred
911-12-3611,48811.25,3484.98,83.8252,47.8395579240794,39.0,150.33,91.3541,61.5651,0.7065,1,1989.85,76.21,27.6,Preferred
912-12-3612,231348.3,6872.66,91.1355,65.63016675802501,60.8,61.85,37.0488,63.1115,0.8156,1,872.41,58.22,49.6,Preferred
913-12-3613,97590.02,1348.2,74.0676,38.20183998638992,31.6,81.72,80.1573,30.9265,0.4134,1,5077.47,53.74,13.1,Regular
914-12-3614,86800.75,48216.82,40.934,49.662666746515946,53.1,60.95,79.3879,84.496,0.845,1,1958.76,82.45,44.9,Preferred
915-12-3615,18000.0,7096.7,59.5282,47.62535911517834,44.7,87.22,51.3078,89.7616,0.758,0,1702.74,70.19,33.9,Regular
916-12-3616,18000.0,7214.01,85.9468,56.54054969051586,38.2,80.88,84.1394,61.6352,0.5196,1,10501.47,67.73,19.8,Regular
917-12-3617,19400.09,5322.57,88.8146,57.39894757039423,29.4,42.02,72.3375,32.6154,0.8243,1,1624.46,63.45,24.2,Regular
919-12-3619,101515.51,8484.99,57.5213,52.47218129252927,92.4,81.79,76.2263,27.6826,0.9509,0,632.07,67.32,87.9,Preferred
920-12-3620,87046.63,17512.43,65.122,42.76537850333804,43.0,45.52,57.2856,90.6627,0.7048,1,6709.09,71.26,30.3,Regular
922-12-3622,112684.8,44660.5,59.793,45.60064453380254,37.6,96.62,41.0765,57.3539,0.9235,1,3853.01,61.34,34.7,Preferred
924-12-3624,48251.18,2663.04,74.2713,69.24757752442082,45.3,79.05,98.1432,31.0815,0.3256,1,3717.05,58.35,14.7,Preferred
926-12-3626,78339.18,1084.67,76.4881,36.52980242070606,115.8,82.26,95.6128,38.6364,0.2786,1,9014.84,58.19,32.3,Preferred
927-12-3627,105285.15,5078.68,85.8714,54.93999138272856,40.9,64.09,79.4052,50.7253,0.6375,0,4810.28,66.1,26.1,Preferred
928-12-3628,75305.88,16058.73,88.761,40.735389756616414,24.6,121.58,63.8332,44.6512,0.3056,0,3518.59,48.1,7.5,Regular
929-12-3629,72031.26,40729.81,89.5518,57.27896267795596,50.8,57.43,54.767,76.6666,0.8227,1,1528.02,69.59,41.8,Preferred
930-12-3630,39219.35,5677.66,77.2074,62.10377950433245,25.7,37.56,56.1242,83.2714,0.7663,1,4452.43,70.42,19.7,Regular
931-12-3631,69144.11,13768.69,87.8278,47.78680198394113,12.2,42.56,69.7012,92.1111,0.3445,0,1011.92,65.85,4.2,Regular
932-12-3632,47202.03,83947.13,94.3921,44.6780084956852,68.7,33.11,84.2107,62.2556,0.7396,1,4694.84,74.55,50.8,VIP
933-12-3633,28330.19,4774.66,86.4771,66.68537647186727,43.8,43.2,95.7977,52.9268,0.5356,1,833.94,70.27,23.5,Regular
934-12-3634,73864.88,4145.2,86.5547,43.62402422441186,69.2,18.13,58.0942,38.4315,0.6628,0,5022.81,54.65,45.9,Regular
935-12-3635,29268.26,11084.94,90.0989,42.81615060898901,70.7,21.17,56.3874,66.2713,0.4542,0,4262.41,56.06,32.1,Regular
937-12-3637,46332.27,1626.7,63.9702,49.19638411183647,25.2,36.47,83.3176,64.0473,0.7708,1,180.51,75.67,19.4,Regular
939-12-3639,160128.07,3854.45,82.5646,60.25513209591816,66.2,17.49,79.5446,49.7698,0.4555,1,1652.56,60.41,30.2,Preferred
940-12-3640,188490.07,53438.52,67.8306,55.44512214376539,36.9,88.5,56.8005,89.4951,0.4259,1,2078.32,62.35,15.7,VIP
941-12-3641,48640.04,1376.25,56.651,55.26327965251767,42.1,49.22,88.7188,33.0168,0.4118,1,847.84,57.75,17.3,Regular
942-12-3642,120347.72,11647.77,48.7013,64.15813641520099,79.6,37.33,52.7965,89.0388,0.4319,0,4882.47,60.79,34.4,Preferred
943-12-3643,19791.1,5722.44,60.9247,41.22442479149717,64.3,30.58,45.4331,73.9115,0.9566,1,3640.78,69.04,61.5,Regular
944-12-3644,26183.26,4544.22,86.406,37.82586552430488,31.2,96.11,69.2041,83.2049,0.5661,1,7582.94,69.63,17.7,Regular
945-12-3645,57367.54,2852.56,66.9769,55.996880506544,99.6,25.04,38.371,56.6543,0.812,1,9876.53,56.7,80.9,Regular
947-12-3647,77881.73,1370.31,80.8813,60.30188464977834,79.5,17.95,65.7769,91.4567,0.6505,1,5218.48,73.26,51.7,Regular
948-12-3648,73223.73,14865.06,88.1091,49.62189773795788,57.4,52.53,95.3157,54.4658,0.8296,0,1986.28,79.35,47.6,Preferred
949-12-3649,57918.96,9264.87,78.4243,44.40183523437835,38.3,56.43,68.3323,94.8446,0.9091,1,3313.41,83.06,34.8,Regular
950-12-3650,313967.2,1037.19,85.7617,56.16375722316938,91.9,68.19,48.481,43.3107,0.2359,1,2795.23,39.46,21.7,Preferred
951-12-3651,77467.25,9815.78,69.9652,50.80298709350811,32.4,6.29,68.03,81.6202,0.8457,1,1611.56,77.07,27.4,Regular
952-12-3652,89610.1,7363.77,60.6028,49.63015917462043,28.3,52.52,84.2807,84.8042,0.6609,1,2623.77,78.98,18.7,Regular
953-12-3653,84110.37,3002.88,83.014,79.56899082288018,51.0,47.42,49.6349,57.8482,0.3133,1,2040.07,46.61,16.0,Regular
954-12-3654,31866.39,12475.57,96.9614,63.062266008220845,30.9,29.42,85.8245,68.0443,0.7264,1,6274.14,76.54,22.4,Regular
955-12-3655,234491.31,10331.3,74.434,57.6175552913755,106.2,116.68,77.9096,57.998,0.6345,1,1811.06,67.6,67.4,Preferred
958-12-3658,100814.57,6210.19,90.4383,47.1168888059152,66.1,58.69,90.8354,52.1389,0.7106,1,1673.27,73.29,47.0,Preferred
959-12-3659,119199.22,23556.9,49.6279,52.1081288739404,73.2,33.28,28.7394,54.1713,0.4397,1,2265.03,40.94,32.2,Regular
960-12-3660,48153.34,12187.21,70.6386,45.44857501707299,40.7,41.17,78.0171,24.9295,0.7059,1,6743.83,59.86,28.7,Regular
962-12-3662,28744.11,8663.34,88.2046,49.51376010407447,56.2,25.76,51.4227,64.4322,0.7708,1,36175.59,63.02,43.3,Regular
963-12-3663,192779.71,2991.09,82.964,52.93617859622268,31.6,34.54,85.4212,62.7229,0.8572,1,1505.53,78.7,27.1,Preferred
964-12-3664,53419.74,25512.19,96.3109,60.33222674717602,48.4,47.52,89.3624,25.6371,0.1783,1,4234.54,48.79,8.6,Preferred
965-12-3665,42289.82,4230.69,61.3232,42.85963690483868,47.2,30.39,64.3783,72.2312,0.693,1,712.43,68.21,32.7,Regular
966-12-3666,38312.6,18848.49,75.6609,50.33436782024345,69.7,27.92,77.3048,73.9085,0.6895,1,4167.35,73.78,48.1,Regular
967-12-3667,73732.38,7084.12,65.365,55.3578583353334,74.0,34.14,79.8587,73.8868,0.4215,0,5318.5,66.75,31.2,Regular
968-12-3668,19810.12,7990.26,57.2699,55.10784631740771,56.2,138.55,74.921,53.3739,0.7328,0,3661.74,67.96,41.2,Regular
969-12-3669,111227.16,17226.55,63.1455,68.43363827807897,52.8,94.06,83.1088,58.1785,0.5532,1,10427.53,67.29,29.2,Preferred
970-12-3670,39419.9,15841.28,73.8382,47.28714857112097,89.1,86.5,86.4426,52.04,0.6704,1,6291.49,70.3,59.7,Preferred
971-12-3671,149210.25,7000.54,99.4549,42.22442316617872,39.5,30.85,83.957,73.7237,0.3156,0,5922.92,65.17,12.5,Preferred
972-12-3672,25091.62,160223.21,82.4665,50.96796991020501,67.8,38.92,80.461,43.7993,0.5788,1,549.68,62.69,39.2,Preferred
973-12-3673,65672.32,8345.84,71.1999,47.74370943163743,48.5,82.7,45.237,68.5633,0.5402,0,5962.31,54.87,26.2,Regular
975-12-3675,95182.54,10207.34,78.3797,45.0412382804625,50.3,28.82,65.9334,60.9327,0.6783,1,2907.22,65.0,34.1,Regular
976-12-3676,41701.94,19627.75,45.7812,52.97799951880264,40.5,88.15,54.6311,61.0956,0.8491,0,14920.82,65.65,34.4,Regular
977-12-3677,25227.54,6232.43,79.0669,43.912982595005566,26.4,57.73,43.7096,47.6503,0.343,1,1299.36,42.07,9.1,Regular
978-12-3678,43483.82,35972.1,78.7341,57.6071245065135,18.4,38.28,65.4405,86.8883,0.662,1,1149.48,72.1,12.2,Regular
979-12-3679,135490.91,3799.28,92.4429,57.04551677159415,96.8,178.48,23.2253,47.7571,0.643,1,12968.91,42.91,62.2,Preferred
980-12-3680,259002.94,6275.89,92.3746,53.913936770105565,29.4,24.74,65.0743,79.4495,0.5873,1,2795.89,67.48,17.3,Regular
982-12-3682,35717.96,109223.51,81.779,52.50786591839022,68.2,94.57,11.1582,38.4572,0.3833,1,1718.68,27.5,26.1,Preferred
983-12-3683,18000.0,38164.05,84.0463,61.18295047555182,37.1,31.74,80.2364,79.0894,0.5397,1,1704.59,72.01,20.0,Regular
984-12-3684,40787.66,16037.87,74.9957,58.45799080567071,65.9,99.01,91.2956,53.134,0.6034,1,1056.37,70.56,39.8,Preferred
985-12-3685,38309.87,9998.34,60.1859,56.75137936784245,45.5,45.51,63.5311,45.3378,0.8806,1,3075.27,65.43,40.1,Regular
986-12-3686,25929.18,25995.54,94.3278,50.19027245182784,110.5,23.73,82.2541,74.756,0.3677,1,4396.42,66.36,40.6,Preferred
987-12-3687,191780.38,5216.47,76.4144,49.763154434104806,54.4,14.7,87.0034,26.3131,0.3714,0,6677.9,53.84,20.2,Preferred
988-12-3688,133627.15,2014.64,76.0465,63.286605744939145,62.7,31.02,83.1001,48.2316,0.5236,0,14132.83,63.42,32.8,Preferred
989-12-3689,70995.68,10223.26,64.3092,52.813079509065695,34.4,44.41,73.3799,81.9682,0.9187,1,1527.09,81.5,31.6,Regular
990-12-3690,55427.3,7481.65,78.4907,52.94258154398645,81.0,20.44,85.0529,47.3422,0.8774,1,7560.55,74.55,71.1,Regular
991-12-3691,111832.0,39651.09,78.0726,85.0,7.1,78.5,86.5428,68.6439,0.951,1,4180.75,83.74,6.8,Preferred
992-12-3692,29701.21,1708.43,69.4375,47.09806652357452,43.4,60.11,78.1744,72.9969,0.6774,1,6398.0,73.49,29.4,Regular
993-12-3693,70746.79,898.42,75.0599,33.57794303184078,69.9,80.18,77.3399,45.074,0.4207,0,2093.74,57.08,29.4,Regular
995-12-3695,308799.32,2137.75,88.6435,48.88984506051665,50.4,68.27,79.6315,46.3476,0.6825,1,4541.02,66.23,34.4,Preferred
996-12-3696,23139.21,2876.94,55.4008,52.659755284598845,49.2,106.41,94.3264,56.5986,0.6519,1,2338.05,74.27,32.1,Regular
997-12-3697,49486.06,5940.35,79.1673,55.003904025894045,60.8,33.72,73.9013,70.1378,0.6743,0,6556.12,70.83,41.0,Regular
998-12-3698,24193.72,12699.15,88.1844,34.4481703296666,21.5,24.82,73.4552,92.1173,0.8682,1,2631.32,83.06,18.7,Regular
999-12-3699,101364.13,8807.13,57.7533,55.229267619306746,14.9,32.82,45.4906,73.7044,0.4293,1,6811.82,53.19,6.4,Regular
100-13-3700,101203.02,35004.8,72.6714,49.44093036339519,76.9,61.44,87.1748,69.8869,0.5862,1,3731.75,73.42,45.1,Preferred
102-13-3702,25095.29,9908.18,84.7356,36.772095251362025,75.3,113.27,63.1471,47.0672,0.4634,1,4444.59,53.28,34.9,Regular
103-13-3703,45703.81,2744.1,72.6743,66.12080221436827,64.8,79.21,57.5765,66.9441,0.7665,1,2817.45,66.11,49.7,Regular
104-13-3704,36734.65,5879.13,72.6672,46.06381065205858,41.2,29.46,64.9403,68.006,0.4236,1,7008.08,59.09,17.5,Regular
106-13-3706,186062.21,13618.05,64.2099,42.751601693028704,35.5,154.64,90.4812,31.6922,0.5407,1,828.03,61.92,19.2,Preferred
107-13-3707,95124.67,13144.49,62.5571,53.10680876862972,47.5,110.47,72.1371,82.6124,0.5827,1,506.55,71.12,27.7,Preferred
108-13-3708,101866.29,5538.2,60.5195,47.63339586708194,49.0,22.58,71.3062,59.8141,0.6193,1,8017.86,65.05,30.3,Regular
109-13-3709,59696.65,1591.7,73.9577,56.5515605927767,29.4,114.28,65.069,90.776,0.7038,1,1522.98,74.37,20.7,Regular
110-13-3710,380977.03,2285.41,50.866,47.338778876513466,42.1,61.65,69.1095,79.5175,0.7835,1,1579.14,75.0,33.0,Preferred
111-13-3711,64963.01,39720.56,51.8296,42.40871710524241,40.6,29.82,60.1634,74.106,0.6339,1,6395.45,65.31,25.7,Regular
112-13-3712,99501.52,55825.9,47.5899,49.862057596004135,39.6,55.13,75.5443,70.1937,0.7773,1,323.01,74.59,30.8,Preferred
113-13-3713,129190.58,13912.89,80.8819,49.39009172470483,51.5,49.66,52.2197,86.1587,0.8962,1,4897.41,73.62,46.2,Preferred
114-13-3714,57769.41,33342.51,61.1017,52.42233654444212,75.0,68.36,45.0914,47.7422,0.3831,0,835.71,43.85,28.7,Regular
115-13-3715,69232.34,34603.03,87.0046,59.92816344753033,64.5,140.09,35.7403,78.4936,0.706,1,5648.24,59.02,45.5,Preferred
116-13-3716,40179.46,9308.21,58.7467,40.770391780755496,56.2,43.62,61.6398,72.4911,0.8422,0,2425.19,71.67,47.3,Regular
119-13-3719,135231.27,13997.8,68.1666,56.11227365450113,46.9,78.22,35.1669,42.1548,0.8769,1,1210.8,53.02,41.1,Preferred
121-13-3721,113234.09,9735.71,90.1524,45.62568457872488,59.0,111.02,95.7957,47.7937,0.8034,1,9627.66,76.76,47.4,Preferred
122-13-3722,58325.4,2350.04,83.0967,43.12651225503291,91.5,50.68,73.5906,74.4863,0.8165,1,3504.51,76.28,74.7,Preferred
123-13-3723,116274.99,9458.76,83.8493,42.73155722293108,29.7,38.49,73.6538,62.7584,0.5933,1,3817.95,66.09,17.6,Regular
124-13-3724,53819.37,4859.39,82.0246,50.74740039558623,78.8,79.38,52.5381,57.9113,0.3725,0,3177.09,49.56,29.4,Regular
125-13-3725,19084.1,6856.85,88.8971,57.19837667350032,70.8,73.0,78.2388,81.8817,0.7879,1,23731.21,79.5,55.8,Preferred
126-13-3726,215930.58,12708.23,79.8961,48.63210059825112,64.1,142.79,81.9873,59.1938,0.5452,0,1930.43,66.91,34.9,Preferred
127-13-3727,51896.55,2204.61,83.1069,33.05098403144375,48.5,45.2,76.942,65.2671,0.9491,0,2797.04,78.83,46.0,Regular
128-13-3728,125241.58,520.59,79.3521,45.08759004842346,65.9,84.53,64.02,59.9248,0.7655,0,460.65,66.55,50.4,Preferred
129-13-3729,46447.62,13287.88,82.1458,44.80472697563647,32.8,72.06,86.0125,99.6301,0.6442,1,5894.4,83.62,21.1,Regular
130-13-3730,18000.0,7432.84,93.9863,54.93029328673484,51.9,55.27,74.8905,71.0946,0.6822,1,1370.57,71.75,35.4,Regular
131-13-3731,56898.87,24806.08,71.6236,55.4900549765743,45.2,29.49,82.8872,59.5904,0.4681,1,652.27,65.08,21.2,Regular
132-13-3732,18000.0,6322.09,80.6121,51.48096537907719,38.4,12.79,74.0656,54.1428,0.8968,1,3716.38,72.77,34.4,Regular
135-13-3735,140534.36,14422.78,80.7551,45.56089265631301,82.8,39.07,81.9352,61.9966,0.8642,0,4161.82,77.3,71.6,Preferred
137-13-3737,29112.83,10860.1,53.4578,49.26235625752314,23.8,71.98,47.3615,78.7282,0.6591,1,5148.57,62.34,15.7,Regular
139-13-3739,20096.11,22284.07,33.6035,51.46136393178895,41.4,50.64,79.121,76.147,0.8142,1,3369.17,78.92,33.7,Regular
140-13-3740,48292.56,810.59,61.6006,45.15195502686861,67.1,35.65,83.6499,94.4118,0.8286,1,3239.37,86.64,55.6,Regular
141-13-3741,18000.0,12077.72,86.5107,85.0,78.8,42.82,59.5645,41.3152,0.6804,1,563.54,56.63,53.6,Regular
142-13-3742,76501.35,6256.57,80.4735,65.26187447965967,52.2,55.81,74.8436,81.3585,0.504,1,16274.4,69.46,26.3,Preferred
143-13-3743,71190.66,5406.92,95.3579,44.40480565078608,37.4,68.49,91.5837,48.1343,0.7273,1,5606.6,72.89,27.2,Preferred
144-13-3744,65400.73,5415.84,91.5595,41.0538183529148,15.6,95.56,85.3299,88.5012,0.6837,1,928.99,81.19,10.7,Regular
145-13-3745,31097.98,11407.76,71.6586,43.77738097348767,25.3,72.54,64.4866,62.3948,0.8706,1,2488.95,70.63,22.0,Regular
146-13-3746,154304.47,19019.53,56.5168,60.4502483535599,46.8,37.75,88.6649,75.03,0.7069,1,4833.41,79.18,33.1,Preferred
147-13-3747,113107.67,9980.06,80.3681,60.75803048255659,25.4,33.9,70.7152,71.5317,0.6455,0,620.19,69.11,16.4,Regular
149-13-3749,39871.18,1303.78,51.0176,42.35384318623683,66.8,92.99,42.817,60.0124,0.6664,1,1419.85,55.12,44.5,Regular
150-13-3750,46868.12,24513.26,71.8508,54.88723970058136,26.4,57.83,67.5644,84.6066,0.6688,1,7617.49,72.47,17.7,Regular
151-13-3751,59234.38,1094.67,72.2683,43.01820293985017,69.0,76.92,79.6731,75.7942,0.256,1,2414.41,62.29,17.7,Regular
152-13-3752,27704.32,7814.85,82.1655,68.50242535028389,28.8,38.59,75.0727,58.9982,0.6188,1,1244.76,66.29,17.8,Regular
153-13-3753,108791.05,412.88,47.711,42.6022411833944,12.1,32.62,70.2408,89.9003,0.7675,1,4105.84,78.09,9.3,Regular
155-13-3755,198065.38,40868.68,83.9743,40.66437520602806,68.8,29.63,59.5238,65.9845,0.7387,0,751.13,65.77,50.8,Preferred
156-13-3756,47071.38,28412.93,96.8371,49.90363785656103,52.6,40.68,82.119,52.4365,0.2315,1,2583.36,55.52,12.2,Preferred
158-13-3758,163936.9,2111.92,63.3539,56.28796636076784,12.3,15.98,62.0047,42.9462,0.8274,1,5685.57,62.51,10.2,Regular
159-13-3759,38466.18,3532.17,79.7636,40.95220531481017,93.3,108.84,87.8382,51.0134,0.6633,1,3712.94,70.34,61.9,Preferred
160-13-3760,29653.95,100719.37,83.0584,46.48029290495813,56.0,103.73,89.211,76.0189,0.645,1,2016.51,77.84,36.1,VIP
161-13-3761,128106.51,18573.84,88.5168,45.37738148800455,22.1,112.94,75.2635,48.7157,0.8899,1,638.98,71.42,19.7,Preferred
162-13-3762,40783.71,22396.58,74.7021,39.97645926473043,48.6,26.94,51.739,62.2457,0.6985,1,3308.27,60.32,33.9,Regular
163-13-3763,35820.05,1483.59,68.6227,45.18603218522517,29.3,60.01,63.2906,60.502,0.5731,1,736.7,60.66,16.8,Regular
164-13-3764,106026.77,8246.24,77.0701,64.82054599377653,68.4,64.9,90.1967,40.5688,0.4743,1,627.76,62.48,32.4,Preferred
166-13-3766,43823.44,4948.47,90.1432,52.11626479683079,22.7,106.98,84.3941,85.2591,0.2717,1,5613.73,67.49,6.2,Regular
167-13-3767,18000.0,4027.15,72.6176,65.14758076132989,81.0,38.26,68.2605,67.2897,0.6074,1,2797.68,65.71,49.2,Regular
168-13-3768,33239.33,2185.47,55.9686,64.41095479031449,52.1,34.84,54.2167,83.7588,0.7229,1,2071.29,68.5,37.7,Regular
169-13-3769,37789.25,5083.9,78.8715,69.22586586781037,67.6,73.32,62.0348,57.8872,0.8258,1,6638.53,66.95,55.8,Regular
170-13-3770,35413.57,1479.32,96.8542,53.08490056273612,25.2,43.14,80.2247,30.9434,0.554,1,3003.78,57.99,14.0,Regular
171-13-3771,44308.86,117927.56,90.4811,54.58675536005021,26.9,61.53,66.5073,45.5469,0.6874,0,1105.36,60.89,18.5,Preferred
173-13-3773,29596.18,5808.43,61.5221,38.94755368474554,53.4,41.95,81.9604,47.503,0.9537,1,1822.32,75.65,50.9,Regular
174-13-3774,153492.34,1257.14,48.791,48.61677811694881,37.0,94.1,64.9011,41.5742,0.9498,1,4655.22,66.93,35.1,Preferred
175-13-3775,73771.29,872.46,77.7289,61.9911957194829,91.9,42.45,86.6733,67.0163,0.7978,1,644.46,78.71,73.3,Preferred
176-13-3776,41828.99,7190.54,25.4634,32.973829067972936,59.3,39.85,79.8562,85.0113,0.7237,0,13598.33,79.16,42.9,Regular
177-13-3777,37844.32,10317.18,68.4608,45.703322302551925,84.5,67.58,88.5114,65.0404,0.642,1,1456.72,74.18,54.2,Preferred
178-13-3778,102298.06,704.16,90.21,55.62485321311314,56.0,191.24,83.6072,75.4949,0.3627,1,1440.34,66.97,20.3,Preferred
179-13-3779,63583.91,6134.36,90.5251,50.03085120832624,52.3,76.5,63.8157,83.5822,0.7659,1,3873.06,73.58,40.1,Preferred
180-13-3780,27297.19,4712.37,95.2878,63.6275779650685,55.5,112.82,62.5048,69.3219,0.5773,1,5057.72,63.12,32.0,Regular
183-13-3783,36871.71,80186.73,66.2446,50.81847069725392,35.2,30.9,70.5578,35.5475,0.771,1,1298.07,62.02,27.1,Preferred
185-13-3785,90160.04,2444.38,89.262,43.28524064747962,60.1,45.09,50.0583,52.8941,0.496,1,640.59,50.77,29.8,Regular
187-13-3787,66139.57,15959.95,56.7374,52.41169736425645,33.4,98.77,91.8975,40.9916,0.7109,1,7434.22,70.38,23.7,Preferred
190-13-3790,83437.97,1075.8,52.3636,38.22663060724399,113.7,35.5,56.6682,86.4283,0.4612,1,20545.04,62.43,52.4,Regular
192-13-3792,26597.66,18263.87,90.4351,55.186690636634985,98.9,64.31,61.7212,89.6686,0.782,1,3608.03,75.05,77.3,Preferred
193-13-3793,47115.4,15429.99,57.7995,48.80662983854212,60.4,51.93,70.5343,91.8125,0.6943,1,12164.04,76.59,41.9,Regular
194-13-3794,226351.58,4261.66,73.9327,53.12454868525706,72.0,63.05,88.4321,55.9885,0.2803,0,6152.68,60.58,20.2,Preferred
195-13-3795,114933.36,6405.14,69.1853,43.9959346662484,44.0,185.57,63.4745,48.8241,0.6637,1,1468.53,59.95,29.2,Preferred
196-13-3796,170933.43,85095.42,84.0074,47.745625147547926,29.6,119.2,77.586,66.2238,0.9218,1,1045.01,78.56,27.3,VIP
197-13-3797,26226.93,28453.91,85.9373,47.20077019460388,54.2,81.12,73.8219,83.1992,0.7392,1,4047.43,76.66,40.1,Preferred
199-13-3799,41600.41,10449.4,81.823,41.10133924834156,43.1,35.77,91.09,73.7,0.9198,1,1124.48,86.14,39.6,Regular
200-13-3800,179970.19,16230.94,59.4798,33.6046672626842,23.8,60.39,72.3529,59.6656,0.907,1,3498.11,74.05,21.6,Regular
204-13-3804,64161.53,10155.28,84.03,59.50223000900808,49.5,73.59,75.8926,70.309,0.3665,0,3028.78,62.44,18.1,Preferred
206-13-3806,29343.58,5174.46,89.3459,68.85222703953855,40.9,54.57,93.3004,42.5506,0.5782,1,4017.71,67.43,23.6,Regular
207-13-3807,54706.81,7957.88,56.5705,51.92439332828662,44.0,41.69,63.5579,58.29,0.9555,1,2351.58,71.58,42.0,Regular
208-13-3808,103413.08,3953.54,59.4392,79.6256592637453,37.7,19.16,67.6219,70.4605,0.5812,1,6913.01,65.62,21.9,Regular
209-13-3809,64615.18,197029.05,62.9212,48.88830035842698,111.7,26.04,93.0722,80.7405,0.6876,1,2147.92,82.08,76.8,VIP
210-13-3810,46839.1,2805.73,77.1013,55.88063025824742,37.9,62.89,41.2239,48.1516,0.7181,1,1438.3,52.48,27.2,Regular
211-13-3811,70518.28,21416.0,82.1004,57.48872577917376,25.3,33.58,93.4327,89.4975,0.5668,1,1263.39,81.23,14.3,Preferred
212-13-3812,23044.57,8603.1,76.1192,85.0,89.7,47.63,63.7838,73.8053,0.6037,1,9151.07,65.77,54.2,Regular
213-13-3813,124526.94,4531.68,89.9463,46.02500346898136,63.2,77.41,85.7666,63.2843,0.945,1,5764.5,81.64,59.7,Preferred
